id	titlescore	titlestd
 lgh	null	null
1001ju	317	553.782885137
100to0	null	null
100ul6	null	null
100wda	null	null
100xv1	null	null
100yxp	null	null
1010as	null	null
10154x	null	null
1017bn	null	null
101fk5	null	null
101s7q	null	null
101wri	null	null
102kxw	null	null
1030aj	null	null
103kc0	null	null
10422a	null	null
1043zq	194.220338983	380.409015728
104t0x	null	null
105a55	null	null
106ew4	null	null
106f64	null	null
106kug	null	null
106mr0	199.020618557	541.193945063
1071ev	25.4285714286	39.3513737021
1072xs	null	null
107p84	null	null
108u56	null	null
108uum	null	null
1097ee	207.033333333	330.406263392
10cb6j	null	null
10cvba	null	null
10d230	null	null
10d7rj	null	null
10dypv	null	null
10ea8r	null	null
10ep2x	null	null
10ep9h	null	null
10ev9t	null	null
10fb9b	null	null
10gu0k	null	null
10h8dv	null	null
10hilw	null	null
10hpmi	null	null
10hptz	218.738095238	335.409845919
10i53b	null	null
10ifxi	null	null
10j176	null	null
10jg84	null	null
10jjhj	null	null
10jsgo	null	null
10k663	null	null
10ko7t	null	null
10kp2h	null	null
10lrjq	null	null
10lsvf	null	null
10m95v	null	null
10maf7	null	null
10msl3	null	null
10nxyt	null	null
10o0oy	null	null
10o389	null	null
10oqk8	null	null
10pkdp	null	null
10pkrr	null	null
10qgg6	null	null
10qw11	null	null
10r6sf	null	null
10rcra	null	null
10rdtd	null	null
10reg5	463.898989899	418.500123576
10rlmh	null	null
10sh0u	null	null
10t6ug	null	null
10taun	392.858585859	574.768728371
10ul61	null	null
10uvvg	null	null
10vd9m	null	null
10vt1o	null	null
10w5yb	null	null
10xhi4	null	null
10xqk8	null	null
10xr68	null	null
10ybjz	null	null
10yfvd	null	null
10z2h8	168.295918367	347.27276256
10z83d	null	null
10zhh0	null	null
10zmz0	null	null
10zvow	290.441176471	341.972495555
10zzr0	null	null
1103yd	null	null
111hqj	null	null
111y57	null	null
1126m2	null	null
112hxe	null	null
112l0t	null	null
112y2b	null	null
1130tf	null	null
113ii8	672.54	739.804709636
113t56	null	null
113vtg	null	null
113wvt	25.1739130435	58.9079253352
1142qm	null	null
115jz7	null	null
115rom	525.747474747	364.173350426
116w7t	null	null
117emj	null	null
117jth	null	null
117n94	null	null
117vv3	null	null
117zba	null	null
118ecb	null	null
118gif	205.428571429	265.597631843
118vsn	153.5	391.880023352
118zvs	null	null
1190rv	null	null
1190s9	178.053333333	343.189428483
11aj3s	null	null
11aysf	null	null
11b4j8	null	null
11b6kf	null	null
11c8l2	null	null
11coj6	null	null
11cx1a	null	null
11d3q1	null	null
11d5va	null	null
11dcd4	119.307692308	241.672739501
11egd1	null	null
11ewsf	293.557522124	371.395239176
11g79o	null	null
11gd03	null	null
11ghdg	272.823529412	226.926195645
11giko	315.274193548	392.497359871
11gjq9	null	null
11gsrj	null	null
11gvfx	null	null
11h12a	null	null
11hmah	13	0
11ifpf	null	null
11iqsw	null	null
11kale	242.125	463.961772177
11lbl4	null	null
11m8lu	361.111111111	382.339962486
11mly8	null	null
11mps4	null	null
11muto	217.607142857	404.031623522
11ocu8	null	null
11oqa2	null	null
11p6fi	null	null
11pgvl	null	null
11q1ht	null	null
11qdh4	null	null
11qjbx	60.3333333333	53.6490654366
11qlhk	null	null
11r8yf	691.833333333	846.878467603
11ravq	null	null
11rvek	null	null
11s1wz	null	null
11sjzv	null	null
11t1md	null	null
11uab5	null	null
11ugh3	null	null
11ul4q	231.98019802	447.439779237
11uohv	null	null
11uwsx	null	null
11uxvd	77.6	130.417176783
11veft	null	null
11wp9i	null	null
11wr7d	null	null
11ws7p	null	null
11wtdn	79	0
11xcf2	null	null
11xtal	null	null
11xzvi	null	null
11y09d	null	null
11y1be	null	null
11y2o8	null	null
11y6uc	null	null
11ya04	null	null
11yprd	null	null
11yrdx	null	null
11yuqi	null	null
11yvsh	141.236363636	284.798427194
11z4go	null	null
11zbji	null	null
11zlk1	null	null
11zrdc	null	null
12 hb	null	null
1200f2	null	null
1200hf	null	null
1202s5	null	null
1203zn	null	null
1208bt	null	null
120kg8	null	null
120q2k	null	null
120uiv	null	null
1222gl	null	null
1225cp	null	null
122owo	null	null
122ra6	null	null
122xr6	null	null
123a2z	null	null
1247fn	null	null
124a07	270.575757576	316.59964493
124aji	null	null
124uj8	null	null
